,Open,High,Low,Close,Volume,recession_unscaled,recession_monthly,isPartial,scale,recession,VOX price_unscaled,VOX price_monthly,isPartial,scale,VOX price,VOX news_unscaled,VOX news_monthly,isPartial,scale,VOX news,Trump_unscaled,Trump_monthly,isPartial,scale,Trump
2020-03-12,75.55000305175781,78.0999984741211,72.20999908447266,73.5199966430664,686600,45,45,False,0.45,20.25,48,48,False,0.48,23.04,98,98,False,0.98,96.03999999999999,74,74,False,0.74,54.76
2020-03-13,77.5,79.98999786376953,73.62999725341797,79.94999694824219,263500,37,37,False,0.37,13.69,100,100,False,1.0,100.0,70,70,False,0.7,49.0,100,100,False,1.0,100.0
2020-03-16,71.63999938964844,75.30000305175781,70.51000213623047,70.81999969482422,443300,87,87,False,0.87,75.69,0,0,False,0.0,0.0,100,100,False,1.0,100.0,64,64,False,0.64,40.96
2020-03-17,71.9800033569336,74.43000030517578,69.4000015258789,73.63999938964844,509700,100,100,False,1.0,100.0,49,49,False,0.49,24.009999999999998,100,100,False,1.0,100.0,54,54,False,0.54,29.160000000000004
2020-03-18,70.0,71.76000213623047,66.51000213623047,70.87000274658203,580400,65,65,False,0.65,42.25,0,0,False,0.0,0.0,71,71,False,0.71,50.41,64,64,False,0.64,40.96
2020-03-19,70.0199966430664,74.41999816894531,68.93000030517578,72.5,688800,52,52,False,0.52,27.04,50,50,False,0.5,25.0,75,75,False,0.75,56.25,62,62,False,0.62,38.44
2020-03-20,73.61000061035156,73.81999969482422,68.9800033569336,69.19999694824219,422000,42,42,False,0.42,17.64,49,49,False,0.49,24.009999999999998,60,60,False,0.6,36.0,56,56,False,0.56,31.360000000000003
