DATE,UNRATE
2013-11-14,6.8133333333333335
2013-11-15,6.806666666666667
2013-11-16,6.800000000000001
2013-11-17,6.793333333333334
2013-11-18,6.786666666666667
2013-11-19,6.78
2013-11-20,6.773333333333333
2013-11-21,6.766666666666667
2013-11-22,6.76
2013-11-23,6.753333333333334
2013-11-24,6.746666666666667
2013-11-25,6.74
2013-11-26,6.733333333333333
2013-11-27,6.726666666666667
2013-11-28,6.720000000000001
2013-11-29,6.713333333333334
2013-11-30,6.706666666666667
2013-12-01,6.7
2013-12-02,6.6967741935483875
2013-12-03,6.693548387096774
2013-12-04,6.690322580645161
2013-12-05,6.687096774193549
2013-12-06,6.683870967741935
2013-12-07,6.680645161290323
2013-12-08,6.67741935483871
2013-12-09,6.674193548387096
2013-12-10,6.670967741935484
2013-12-11,6.667741935483871
2013-12-12,6.664516129032258
2013-12-13,6.661290322580645
2013-12-14,6.658064516129032
2013-12-15,6.654838709677419
2013-12-16,6.651612903225806
2013-12-17,6.648387096774194
2013-12-18,6.645161290322581
2013-12-19,6.641935483870967
2013-12-20,6.638709677419355
2013-12-21,6.635483870967742
2013-12-22,6.632258064516129
2013-12-23,6.629032258064516
2013-12-24,6.625806451612903
2013-12-25,6.62258064516129
2013-12-26,6.619354838709677
2013-12-27,6.616129032258065
2013-12-28,6.612903225806451
2013-12-29,6.609677419354838
2013-12-30,6.606451612903226
2013-12-31,6.603225806451612
2014-01-01,6.6
2014-01-02,6.603225806451612
2014-01-03,6.606451612903226
2014-01-04,6.609677419354838
2014-01-05,6.612903225806451
2014-01-06,6.616129032258065
2014-01-07,6.619354838709677
2014-01-08,6.62258064516129
2014-01-09,6.625806451612903
2014-01-10,6.629032258064516
2014-01-11,6.632258064516129
2014-01-12,6.635483870967742
2014-01-13,6.638709677419355
2014-01-14,6.641935483870967
2014-01-15,6.645161290322581
2014-01-16,6.648387096774194
2014-01-17,6.651612903225806
2014-01-18,6.654838709677419
2014-01-19,6.658064516129032
2014-01-20,6.661290322580645
2014-01-21,6.664516129032258
2014-01-22,6.667741935483871
2014-01-23,6.670967741935484
2014-01-24,6.674193548387096
2014-01-25,6.67741935483871
2014-01-26,6.680645161290323
2014-01-27,6.683870967741935
2014-01-28,6.687096774193549
2014-01-29,6.690322580645161
2014-01-30,6.693548387096774
2014-01-31,6.6967741935483875
2014-02-01,6.7
2014-02-02,6.7
2014-02-03,6.7
2014-02-04,6.7
2014-02-05,6.7
2014-02-06,6.7
2014-02-07,6.7
2014-02-08,6.7
2014-02-09,6.7
2014-02-10,6.7
2014-02-11,6.7
2014-02-12,6.7
2014-02-13,6.7
2014-02-14,6.7
2014-02-15,6.7
2014-02-16,6.7
2014-02-17,6.7
2014-02-18,6.7
2014-02-19,6.7
2014-02-20,6.7
2014-02-21,6.7
2014-02-22,6.7
2014-02-23,6.7
2014-02-24,6.7
2014-02-25,6.7
2014-02-26,6.7
2014-02-27,6.7
2014-02-28,6.7
2014-03-01,6.7
2014-03-02,6.683870967741935
2014-03-03,6.667741935483871
2014-03-04,6.651612903225806
2014-03-05,6.635483870967742
2014-03-06,6.619354838709677
2014-03-07,6.603225806451613
2014-03-08,6.587096774193548
2014-03-09,6.570967741935484
2014-03-10,6.554838709677419
2014-03-11,6.538709677419355
2014-03-12,6.52258064516129
2014-03-13,6.506451612903226
2014-03-14,6.490322580645161
2014-03-15,6.474193548387097
2014-03-16,6.458064516129032
2014-03-17,6.441935483870968
2014-03-18,6.425806451612903
2014-03-19,6.409677419354839
2014-03-20,6.393548387096774
2014-03-21,6.37741935483871
2014-03-22,6.361290322580645
2014-03-23,6.345161290322581
2014-03-24,6.329032258064516
2014-03-25,6.312903225806452
2014-03-26,6.296774193548387
2014-03-27,6.280645161290323
2014-03-28,6.264516129032258
2014-03-29,6.248387096774194
2014-03-30,6.232258064516129
2014-03-31,6.216129032258065
2014-04-01,6.2
2014-04-02,6.203333333333333
2014-04-03,6.206666666666667
2014-04-04,6.21
2014-04-05,6.213333333333334
2014-04-06,6.216666666666667
2014-04-07,6.22
2014-04-08,6.223333333333334
2014-04-09,6.226666666666667
2014-04-10,6.23
2014-04-11,6.233333333333333
2014-04-12,6.236666666666666
2014-04-13,6.24
2014-04-14,6.243333333333333
2014-04-15,6.246666666666667
2014-04-16,6.25
2014-04-17,6.253333333333333
2014-04-18,6.256666666666667
2014-04-19,6.26
2014-04-20,6.263333333333334
2014-04-21,6.266666666666667
2014-04-22,6.27
2014-04-23,6.273333333333333
2014-04-24,6.276666666666666
2014-04-25,6.28
2014-04-26,6.283333333333333
2014-04-27,6.286666666666666
2014-04-28,6.29
2014-04-29,6.293333333333333
2014-04-30,6.296666666666667
2014-05-01,6.3
2014-05-02,6.293548387096774
2014-05-03,6.287096774193548
2014-05-04,6.280645161290322
2014-05-05,6.274193548387097
2014-05-06,6.267741935483871
2014-05-07,6.261290322580645
2014-05-08,6.254838709677419
2014-05-09,6.248387096774193
2014-05-10,6.241935483870967
2014-05-11,6.235483870967742
2014-05-12,6.229032258064516
2014-05-13,6.22258064516129
2014-05-14,6.216129032258064
2014-05-15,6.209677419354838
