Date,ICSA
2013-04-14,354142.85714285716
2013-04-15,352285.71428571426
2013-04-16,350428.5714285714
2013-04-17,348571.4285714286
2013-04-18,346714.28571428574
2013-04-19,344857.14285714284
2013-04-20,343000.0
2013-04-21,341285.71428571426
2013-04-22,339571.4285714286
2013-04-23,337857.14285714284
2013-04-24,336142.85714285716
2013-04-25,334428.5714285714
2013-04-26,332714.28571428574
2013-04-27,331000.0
2013-04-28,331571.4285714286
2013-04-29,332142.85714285716
2013-04-30,332714.28571428574
2013-05-01,333285.71428571426
2013-05-02,333857.14285714284
2013-05-03,334428.5714285714
2013-05-04,335000.0
2013-05-05,338571.4285714286
2013-05-06,342142.85714285716
2013-05-07,345714.28571428574
2013-05-08,349285.71428571426
2013-05-09,352857.14285714284
2013-05-10,356428.5714285714
2013-05-11,360000.0
2013-05-12,357571.4285714286
2013-05-13,355142.85714285716
2013-05-14,352714.28571428574
2013-05-15,350285.71428571426
2013-05-16,347857.14285714284
2013-05-17,345428.5714285714
2013-05-18,343000.0
2013-05-19,344428.5714285714
2013-05-20,345857.14285714284
2013-05-21,347285.71428571426
2013-05-22,348714.28571428574
2013-05-23,350142.85714285716
2013-05-24,351571.4285714286
2013-05-25,353000.0
2013-05-26,352000.0
2013-05-27,351000.0
2013-05-28,350000.0
2013-05-29,349000.0
2013-05-30,348000.0
2013-05-31,347000.0
2013-06-01,346000.0
2013-06-02,344714.28571428574
2013-06-03,343428.5714285714
2013-06-04,342142.85714285716
2013-06-05,340857.14285714284
2013-06-06,339571.4285714286
2013-06-07,338285.71428571426
2013-06-08,337000.0
2013-06-09,339285.71428571426
2013-06-10,341571.4285714286
2013-06-11,343857.14285714284
2013-06-12,346142.85714285716
2013-06-13,348428.5714285714
2013-06-14,350714.28571428574
2013-06-15,353000.0
2013-06-16,352142.85714285716
2013-06-17,351285.71428571426
2013-06-18,350428.5714285714
2013-06-19,349571.4285714286
2013-06-20,348714.28571428574
2013-06-21,347857.14285714284
2013-06-22,347000.0
2013-06-23,346000.0
2013-06-24,345000.0
2013-06-25,344000.0
2013-06-26,343000.0
2013-06-27,342000.0
2013-06-28,341000.0
2013-06-29,340000.0
2013-06-30,341571.4285714286
2013-07-01,343142.85714285716
2013-07-02,344714.28571428574
2013-07-03,346285.71428571426
2013-07-04,347857.14285714284
2013-07-05,349428.5714285714
2013-07-06,351000.0
2013-07-07,350000.0
2013-07-08,349000.0
2013-07-09,348000.0
2013-07-10,347000.0
2013-07-11,346000.0
2013-07-12,345000.0
2013-07-13,344000.0
2013-07-14,345571.4285714286
2013-07-15,347142.85714285716
2013-07-16,348714.28571428574
2013-07-17,350285.71428571426
2013-07-18,351857.14285714284
2013-07-19,353428.5714285714
2013-07-20,355000.0
2013-07-21,352000.0
2013-07-22,349000.0
2013-07-23,346000.0
2013-07-24,343000.0
2013-07-25,340000.0
2013-07-26,337000.0
2013-07-27,334000.0
2013-07-28,334714.28571428574
2013-07-29,335428.5714285714
2013-07-30,336142.85714285716
2013-07-31,336857.14285714284
2013-08-01,337571.4285714286
2013-08-02,338285.71428571426
2013-08-03,339000.0
2013-08-04,337285.71428571426
2013-08-05,335571.4285714286
2013-08-06,333857.14285714284
2013-08-07,332142.85714285716
2013-08-08,330428.5714285714
2013-08-09,328714.28571428574
2013-08-10,327000.0
2013-08-11,328857.14285714284
2013-08-12,330714.28571428574
2013-08-13,332571.4285714286
2013-08-14,334428.5714285714
2013-08-15,336285.71428571426
2013-08-16,338142.85714285716
2013-08-17,340000.0
2013-08-18,339428.5714285714
2013-08-19,338857.14285714284
2013-08-20,338285.71428571426
2013-08-21,337714.28571428574
2013-08-22,337142.85714285716
2013-08-23,336571.4285714286
2013-08-24,336000.0
2013-08-25,334428.5714285714
2013-08-26,332857.14285714284
2013-08-27,331285.71428571426
2013-08-28,329714.28571428574
2013-08-29,328142.85714285716
2013-08-30,326571.4285714286
2013-08-31,325000.0
2013-09-01,321428.5714285714
2013-09-02,317857.14285714284
2013-09-03,314285.71428571426
2013-09-04,310714.28571428574
2013-09-05,307142.85714285716
2013-09-06,303571.4285714286
2013-09-07,300000.0
2013-09-08,303285.71428571426
2013-09-09,306571.4285714286
2013-09-10,309857.14285714284
2013-09-11,313142.85714285716
2013-09-12,316428.5714285714
2013-09-13,319714.28571428574
2013-09-14,323000.0
2013-09-15,321714.28571428574
2013-09-16,320428.5714285714
2013-09-17,319142.85714285716
2013-09-18,317857.14285714284
2013-09-19,316571.4285714286
2013-09-20,315285.71428571426
2013-09-21,314000.0
2013-09-22,314714.28571428574
2013-09-23,315428.5714285714
2013-09-24,316142.85714285716
2013-09-25,316857.14285714284
2013-09-26,317571.4285714286
2013-09-27,318285.71428571426
2013-09-28,319000.0
2013-09-29,326000.0
2013-09-30,333000.0
2013-10-01,340000.0
2013-10-02,347000.0
2013-10-03,354000.0
2013-10-04,361000.0
2013-10-05,368000.0
2013-10-06,368000.0
2013-10-07,368000.0
2013-10-08,368000.0
2013-10-09,368000.0
2013-10-10,368000.0
2013-10-11,368000.0
2013-10-12,368000.0
2013-10-13,365571.4285714286
2013-10-14,363142.85714285716
2013-10-15,360714.28571428574
2013-10-16,358285.71428571426
2013-10-17,355857.14285714284
2013-10-18,353428.5714285714
2013-10-19,351000.0
2013-10-20,350428.5714285714
2013-10-21,349857.14285714284
2013-10-22,349285.71428571426
2013-10-23,348714.28571428574
2013-10-24,348142.85714285716
2013-10-25,347571.4285714286
2013-10-26,347000.0
2013-10-27,346285.71428571426
2013-10-28,345571.4285714286
2013-10-29,344857.14285714284
2013-10-30,344142.85714285716
2013-10-31,343428.5714285714
2013-11-01,342714.28571428574
2013-11-02,342000.0
2013-11-03,341714.28571428574
2013-11-04,341428.5714285714
2013-11-05,341142.85714285716
2013-11-06,340857.14285714284
2013-11-07,340571.4285714286
2013-11-08,340285.71428571426
2013-11-09,340000.0
2013-11-10,338714.28571428574
2013-11-11,337428.5714285714
2013-11-12,336142.85714285716
2013-11-13,334857.14285714284
2013-11-14,333571.4285714286
2013-11-15,332285.71428571426
2013-11-16,331000.0
