Date,Technical Analysis
2013-11-28,34.02
2013-11-29,24.57
2013-11-30,25.830000000000002
2013-12-01,0.0
2013-12-02,25.849999999999998
2013-12-03,19.74
2013-12-04,20.209999999999997
2013-12-05,6.58
2013-12-06,7.05
2013-12-07,8.459999999999999
2013-12-08,0.0
2013-12-09,20.68
2013-12-10,47.0
2013-12-11,35.25
2013-12-12,21.15
2013-12-13,7.05
2013-12-14,0.0
2013-12-15,8.93
2013-12-16,21.15
2013-12-17,34.309999999999995
2013-12-18,14.1
2013-12-19,15.04
2013-12-20,23.029999999999998
2013-12-21,0.0
2013-12-22,18.33
2013-12-23,0.0
2013-12-24,0.0
2013-12-25,21.15
2013-12-26,8.459999999999999
2013-12-27,31.959999999999997
2013-12-28,0.0
2013-12-29,17.39
2013-12-30,37.129999999999995
2013-12-31,15.51
2014-01-01,15.959999999999999
2014-01-02,25.08
2014-01-03,37.05
2014-01-04,43.31999999999999
2014-01-05,56.99999999999999
2014-01-06,47.309999999999995
2014-01-07,29.639999999999997
2014-01-08,35.91
2014-01-09,30.209999999999997
2014-01-10,37.05
2014-01-11,29.069999999999997
2014-01-12,21.659999999999997
2014-01-13,23.369999999999997
2014-01-14,29.639999999999997
2014-01-15,41.61
2014-01-16,35.91
2014-01-17,37.05
2014-01-18,37.05
2014-01-19,21.659999999999997
2014-01-20,37.05
2014-01-21,23.369999999999997
2014-01-22,34.769999999999996
2014-01-23,17.669999999999998
2014-01-24,0.0
2014-01-25,14.249999999999998
2014-01-26,28.499999999999996
2014-01-27,22.799999999999997
2014-01-28,34.199999999999996
2014-01-29,23.369999999999997
2014-01-30,41.61
2014-01-31,42.18
2014-02-01,40.26
2014-02-02,13.42
2014-02-03,26.84
2014-02-04,27.45
2014-02-05,61.0
2014-02-06,24.4
2014-02-07,32.94
2014-02-08,33.55
2014-02-09,20.13
2014-02-10,26.84
2014-02-11,37.82
2014-02-12,27.45
2014-02-13,16.47
2014-02-14,0.0
2014-02-15,14.03
2014-02-16,20.74
2014-02-17,51.85
2014-02-18,38.43
2014-02-19,50.019999999999996
2014-02-20,38.43
2014-02-21,28.06
2014-02-22,41.48
2014-02-23,54.9
2014-02-24,16.47
2014-02-25,26.84
2014-02-26,43.31
2014-02-27,61.0
2014-02-28,39.65
2014-03-01,19.38
2014-03-02,38.76
2014-03-03,22.95
2014-03-04,8.16
2014-03-05,8.16
2014-03-06,16.32
2014-03-07,0.0
2014-03-08,10.2
2014-03-09,29.580000000000002
2014-03-10,16.32
2014-03-11,32.64
2014-03-12,8.16
2014-03-13,0.0
2014-03-14,26.01
2014-03-15,10.2
2014-03-16,29.580000000000002
2014-03-17,32.13
2014-03-18,16.32
2014-03-19,32.13
2014-03-20,8.16
2014-03-21,26.01
2014-03-22,51.0
2014-03-23,10.2
2014-03-24,16.32
2014-03-25,8.16
2014-03-26,40.29
2014-03-27,24.48
2014-03-28,24.990000000000002
2014-03-29,39.27
2014-03-30,10.2
2014-03-31,48.96
2014-04-01,20.1
2014-04-02,40.2
2014-04-03,67.0
2014-04-04,48.910000000000004
2014-04-05,25.46
2014-04-06,24.790000000000003
2014-04-07,26.130000000000003
2014-04-08,40.2
2014-04-09,26.8
2014-04-10,56.28
2014-04-11,42.88
2014-04-12,35.510000000000005
2014-04-13,26.130000000000003
2014-04-14,33.5
2014-04-15,58.96
2014-04-16,47.57
2014-04-17,20.77
2014-04-18,45.56
2014-04-19,52.93
2014-04-20,46.230000000000004
2014-04-21,42.21
2014-04-22,20.1
2014-04-23,54.27
2014-04-24,34.17
2014-04-25,64.99000000000001
2014-04-26,34.84
2014-04-27,16.75
2014-04-28,53.6
2014-04-29,39.53
2014-04-30,39.53
2014-05-01,13.68
2014-05-02,29.069999999999997
2014-05-03,35.91
2014-05-04,17.669999999999998
2014-05-05,32.489999999999995
2014-05-06,27.929999999999996
2014-05-07,46.739999999999995
2014-05-08,28.499999999999996
2014-05-09,9.69
2014-05-10,24.509999999999998
2014-05-11,18.81
2014-05-12,9.69
2014-05-13,23.369999999999997
2014-05-14,42.74999999999999
2014-05-15,56.99999999999999
2014-05-16,29.069999999999997
2014-05-17,0.0
2014-05-18,12.54
2014-05-19,14.249999999999998
2014-05-20,29.069999999999997
2014-05-21,31.919999999999998
2014-05-22,21.659999999999997
2014-05-23,39.9
2014-05-24,0.0
2014-05-25,30.209999999999997
2014-05-26,20.52
2014-05-27,26.79
2014-05-28,21.09
2014-05-29,42.74999999999999
2014-05-30,27.929999999999996
2014-05-31,13.68
2014-06-01,15.120000000000001
2014-06-02,11.88
2014-06-03,17.82
2014-06-04,17.82
2014-06-05,17.82
2014-06-06,31.32
