Date,Hotel
2013-11-25,51.03
2013-11-26,51.660000000000004
2013-11-27,47.88
2013-11-28,44.73
2013-11-29,47.88
2013-11-30,49.77
2013-12-01,40.32
2013-12-02,45.99
2013-12-03,47.25
2013-12-04,49.14
2013-12-05,49.14
2013-12-06,49.14
2013-12-07,47.88
2013-12-08,43.47
2013-12-09,46.62
2013-12-10,46.62
2013-12-11,46.62
2013-12-12,47.25
2013-12-13,48.51
2013-12-14,47.25
2013-12-15,44.1
2013-12-16,45.36
2013-12-17,48.51
2013-12-18,47.25
2013-12-19,46.62
2013-12-20,45.99
2013-12-21,46.62
2013-12-22,46.62
2013-12-23,45.99
2013-12-24,44.1
2013-12-25,44.1
2013-12-26,54.18
2013-12-27,60.480000000000004
2013-12-28,61.11
2013-12-29,58.59
2013-12-30,60.480000000000004
2013-12-31,63.0
2014-01-01,64.24
2014-01-02,68.62
2014-01-03,67.16
2014-01-04,66.42999999999999
2014-01-05,62.05
2014-01-06,64.97
2014-01-07,67.89
2014-01-08,68.62
2014-01-09,69.35
2014-01-10,70.08
2014-01-11,67.16
2014-01-12,67.89
2014-01-13,70.08
2014-01-14,73.0
2014-01-15,71.53999999999999
2014-01-16,68.62
2014-01-17,71.53999999999999
2014-01-18,71.53999999999999
2014-01-19,65.7
2014-01-20,66.42999999999999
2014-01-21,68.62
2014-01-22,67.89
2014-01-23,67.16
2014-01-24,67.16
2014-01-25,67.89
2014-01-26,66.42999999999999
2014-01-27,64.97
2014-01-28,67.89
2014-01-29,64.97
2014-01-30,67.89
2014-01-31,65.7
2014-02-01,62.16
2014-02-02,55.5
2014-02-03,57.72
2014-02-04,64.38
2014-02-05,64.38
2014-02-06,66.6
2014-02-07,71.03999999999999
2014-02-08,68.82
2014-02-09,68.08
2014-02-10,67.34
2014-02-11,70.3
2014-02-12,69.56
2014-02-13,69.56
2014-02-14,71.03999999999999
2014-02-15,74.0
2014-02-16,69.56
2014-02-17,65.86
2014-02-18,68.08
2014-02-19,66.6
2014-02-20,66.6
2014-02-21,67.34
2014-02-22,68.82
2014-02-23,63.64
2014-02-24,67.34
2014-02-25,67.34
2014-02-26,68.08
2014-02-27,68.82
2014-02-28,71.03999999999999
2014-03-01,75.33
2014-03-02,70.47
2014-03-03,65.61
2014-03-04,74.52000000000001
2014-03-05,72.9
2014-03-06,74.52000000000001
2014-03-07,81.0
2014-03-08,78.57000000000001
2014-03-09,76.14
2014-03-10,75.33
2014-03-11,74.52000000000001
2014-03-12,74.52000000000001
2014-03-13,74.52000000000001
2014-03-14,80.19000000000001
2014-03-15,79.38000000000001
2014-03-16,76.14
2014-03-17,72.09
2014-03-18,73.71000000000001
2014-03-19,73.71000000000001
2014-03-20,71.28
2014-03-21,76.95
2014-03-22,80.19000000000001
2014-03-23,75.33
2014-03-24,73.71000000000001
2014-03-25,73.71000000000001
2014-03-26,75.33
2014-03-27,76.14
2014-03-28,77.76
2014-03-29,77.76
2014-03-30,75.33
2014-03-31,71.28
2014-04-01,72.38
2014-04-02,71.61
2014-04-03,77.0
2014-04-04,77.0
2014-04-05,75.46000000000001
2014-04-06,74.69
2014-04-07,71.61
2014-04-08,73.15
2014-04-09,73.92
2014-04-10,73.92
2014-04-11,74.69
2014-04-12,74.69
2014-04-13,77.0
2014-04-14,72.38
2014-04-15,72.38
2014-04-16,73.92
2014-04-17,74.69
2014-04-18,71.61
2014-04-19,71.61
2014-04-20,66.99
2014-04-21,70.84
2014-04-22,73.92
2014-04-23,73.92
2014-04-24,71.61
2014-04-25,76.23
2014-04-26,74.69
2014-04-27,70.84
2014-04-28,70.84
2014-04-29,70.84
2014-04-30,70.07000000000001
2014-05-01,68.88
2014-05-02,77.08
2014-05-03,74.61999999999999
2014-05-04,73.8
2014-05-05,74.61999999999999
2014-05-06,74.61999999999999
2014-05-07,72.97999999999999
2014-05-08,74.61999999999999
2014-05-09,73.8
2014-05-10,71.33999999999999
2014-05-11,68.88
2014-05-12,75.44
2014-05-13,73.8
2014-05-14,72.16
2014-05-15,77.08
2014-05-16,72.16
2014-05-17,81.17999999999999
2014-05-18,82.0
2014-05-19,76.25999999999999
2014-05-20,77.89999999999999
2014-05-21,78.72
2014-05-22,78.72
2014-05-23,81.17999999999999
2014-05-24,80.36
2014-05-25,76.25999999999999
2014-05-26,74.61999999999999
2014-05-27,77.89999999999999
2014-05-28,72.97999999999999
2014-05-29,76.25999999999999
2014-05-30,72.97999999999999
2014-05-31,72.97999999999999
2014-06-01,70.55
2014-06-02,75.64999999999999
2014-06-03,78.2
2014-06-04,78.2
2014-06-05,79.89999999999999
2014-06-06,77.35
2014-06-07,74.8
2014-06-08,74.8
2014-06-09,79.89999999999999
2014-06-10,79.05
2014-06-11,76.5
2014-06-12,76.5
2014-06-13,76.5
2014-06-14,74.8
2014-06-15,74.8
2014-06-16,78.2
2014-06-17,80.75
2014-06-18,81.6
2014-06-19,82.45
2014-06-20,82.45
2014-06-21,83.3
2014-06-22,77.35
2014-06-23,82.45
2014-06-24,81.6
2014-06-25,85.0
2014-06-26,79.89999999999999
2014-06-27,81.6
2014-06-28,81.6
2014-06-29,80.75
2014-06-30,79.05
2014-07-01,82.77000000000001
2014-07-02,88.35000000000001
2014-07-03,86.49000000000001
2014-07-04,85.56
2014-07-05,82.77000000000001
2014-07-06,86.49000000000001
2014-07-07,87.42
2014-07-08,87.42
2014-07-09,85.56
2014-07-10,88.35000000000001
2014-07-11,90.21000000000001
2014-07-12,84.63000000000001
2014-07-13,83.7
