Date,HSN1F
2013-04-18,433.6333333333333
2013-04-19,433.2
2013-04-20,432.76666666666665
2013-04-21,432.3333333333333
2013-04-22,431.9
2013-04-23,431.46666666666664
2013-04-24,431.03333333333336
2013-04-25,430.6
2013-04-26,430.1666666666667
2013-04-27,429.73333333333335
2013-04-28,429.3
2013-04-29,428.8666666666667
2013-04-30,428.43333333333334
2013-05-01,428.0
2013-05-02,429.35483870967744
2013-05-03,430.7096774193548
2013-05-04,432.06451612903226
2013-05-05,433.4193548387097
2013-05-06,434.7741935483871
2013-05-07,436.1290322580645
2013-05-08,437.48387096774195
2013-05-09,438.83870967741933
2013-05-10,440.19354838709677
2013-05-11,441.5483870967742
2013-05-12,442.9032258064516
2013-05-13,444.258064516129
2013-05-14,445.61290322580646
2013-05-15,446.96774193548384
2013-05-16,448.3225806451613
2013-05-17,449.6774193548387
2013-05-18,451.0322580645161
2013-05-19,452.38709677419354
2013-05-20,453.741935483871
2013-05-21,455.0967741935484
2013-05-22,456.4516129032258
2013-05-23,457.80645161290323
2013-05-24,459.16129032258067
2013-05-25,460.51612903225805
2013-05-26,461.8709677419355
2013-05-27,463.2258064516129
2013-05-28,464.5806451612903
2013-05-29,465.93548387096774
2013-05-30,467.2903225806452
2013-05-31,468.64516129032256
2013-06-01,470.0
2013-06-02,466.8333333333333
2013-06-03,463.6666666666667
2013-06-04,460.5
2013-06-05,457.3333333333333
2013-06-06,454.1666666666667
2013-06-07,451.0
2013-06-08,447.8333333333333
2013-06-09,444.6666666666667
2013-06-10,441.5
2013-06-11,438.3333333333333
2013-06-12,435.1666666666667
2013-06-13,432.0
2013-06-14,428.8333333333333
2013-06-15,425.6666666666667
2013-06-16,422.5
2013-06-17,419.3333333333333
2013-06-18,416.1666666666667
2013-06-19,413.0
2013-06-20,409.8333333333333
2013-06-21,406.6666666666667
2013-06-22,403.5
2013-06-23,400.33333333333337
2013-06-24,397.1666666666667
2013-06-25,394.0
2013-06-26,390.83333333333337
2013-06-27,387.6666666666667
2013-06-28,384.5
2013-06-29,381.33333333333337
2013-06-30,378.1666666666667
2013-07-01,375.0
2013-07-02,375.19354838709677
2013-07-03,375.38709677419354
2013-07-04,375.5806451612903
2013-07-05,375.7741935483871
2013-07-06,375.96774193548384
2013-07-07,376.16129032258067
2013-07-08,376.35483870967744
2013-07-09,376.5483870967742
2013-07-10,376.741935483871
2013-07-11,376.93548387096774
2013-07-12,377.1290322580645
2013-07-13,377.3225806451613
2013-07-14,377.51612903225805
2013-07-15,377.7096774193548
2013-07-16,377.9032258064516
2013-07-17,378.0967741935484
2013-07-18,378.2903225806452
2013-07-19,378.48387096774195
2013-07-20,378.6774193548387
2013-07-21,378.8709677419355
2013-07-22,379.06451612903226
2013-07-23,379.258064516129
2013-07-24,379.4516129032258
2013-07-25,379.64516129032256
2013-07-26,379.83870967741933
2013-07-27,380.03225806451616
2013-07-28,380.2258064516129
2013-07-29,380.4193548387097
2013-07-30,380.61290322580646
2013-07-31,380.80645161290323
2013-08-01,381.0
2013-08-02,381.7096774193548
2013-08-03,382.4193548387097
2013-08-04,383.1290322580645
2013-08-05,383.83870967741933
2013-08-06,384.5483870967742
2013-08-07,385.258064516129
2013-08-08,385.96774193548384
2013-08-09,386.6774193548387
2013-08-10,387.38709677419354
2013-08-11,388.0967741935484
2013-08-12,388.80645161290323
2013-08-13,389.51612903225805
2013-08-14,390.2258064516129
2013-08-15,390.93548387096774
2013-08-16,391.64516129032256
2013-08-17,392.35483870967744
2013-08-18,393.06451612903226
2013-08-19,393.7741935483871
2013-08-20,394.48387096774195
2013-08-21,395.19354838709677
2013-08-22,395.9032258064516
2013-08-23,396.61290322580646
2013-08-24,397.3225806451613
2013-08-25,398.0322580645161
2013-08-26,398.741935483871
2013-08-27,399.4516129032258
2013-08-28,400.16129032258067
2013-08-29,400.8709677419355
2013-08-30,401.5806451612903
2013-08-31,402.2903225806452
2013-09-01,403.0
2013-09-02,404.3666666666667
2013-09-03,405.73333333333335
2013-09-04,407.1
2013-09-05,408.46666666666664
2013-09-06,409.8333333333333
2013-09-07,411.2
2013-09-08,412.56666666666666
2013-09-09,413.93333333333334
2013-09-10,415.3
2013-09-11,416.6666666666667
2013-09-12,418.03333333333336
2013-09-13,419.4
2013-09-14,420.76666666666665
2013-09-15,422.1333333333333
2013-09-16,423.5
2013-09-17,424.8666666666667
2013-09-18,426.23333333333335
2013-09-19,427.6
2013-09-20,428.9666666666667
2013-09-21,430.3333333333333
2013-09-22,431.7
2013-09-23,433.06666666666666
2013-09-24,434.43333333333334
2013-09-25,435.8
2013-09-26,437.1666666666667
2013-09-27,438.5333333333333
2013-09-28,439.9
2013-09-29,441.26666666666665
2013-09-30,442.6333333333333
2013-10-01,444.0
2013-10-02,444.06451612903226
2013-10-03,444.1290322580645
2013-10-04,444.19354838709677
2013-10-05,444.258064516129
2013-10-06,444.3225806451613
2013-10-07,444.38709677419354
2013-10-08,444.4516129032258
2013-10-09,444.51612903225805
2013-10-10,444.5806451612903
2013-10-11,444.64516129032256
2013-10-12,444.7096774193548
2013-10-13,444.7741935483871
2013-10-14,444.83870967741933
2013-10-15,444.9032258064516
2013-10-16,444.96774193548384
2013-10-17,445.03225806451616
2013-10-18,445.0967741935484
2013-10-19,445.16129032258067
2013-10-20,445.2258064516129
2013-10-21,445.2903225806452
2013-10-22,445.35483870967744
2013-10-23,445.4193548387097
2013-10-24,445.48387096774195
2013-10-25,445.5483870967742
2013-10-26,445.61290322580646
2013-10-27,445.6774193548387
2013-10-28,445.741935483871
