Date,Movies
2013-12-27,62.400000000000006
2013-12-28,72.0
2013-12-29,71.2
2013-12-30,53.6
2013-12-31,55.2
2014-01-01,79.2
2014-01-02,60.800000000000004
2014-01-03,61.6
2014-01-04,75.2
2014-01-05,72.0
2014-01-06,48.800000000000004
2014-01-07,42.400000000000006
2014-01-08,40.800000000000004
2014-01-09,40.0
2014-01-10,50.400000000000006
2014-01-11,74.4
2014-01-12,68.8
2014-01-13,44.800000000000004
2014-01-14,38.400000000000006
2014-01-15,38.400000000000006
2014-01-16,40.0
2014-01-17,52.0
2014-01-18,80.0
2014-01-19,75.2
2014-01-20,59.2
2014-01-21,40.0
2014-01-22,40.0
2014-01-23,40.0
2014-01-24,48.800000000000004
2014-01-25,76.80000000000001
2014-01-26,74.4
2014-01-27,40.0
2014-01-28,40.0
2014-01-29,39.2
2014-01-30,39.2
2014-01-31,43.2
2014-02-01,63.9
2014-02-02,58.93
2014-02-03,38.339999999999996
2014-02-04,36.21
2014-02-05,35.5
2014-02-06,34.79
2014-02-07,41.89
2014-02-08,65.32
2014-02-09,62.48
2014-02-10,36.92
2014-02-11,33.37
2014-02-12,32.66
2014-02-13,38.339999999999996
2014-02-14,48.989999999999995
2014-02-15,71.0
2014-02-16,69.58
2014-02-17,46.86
2014-02-18,34.08
2014-02-19,31.95
2014-02-20,32.66
2014-02-21,39.76
2014-02-22,60.349999999999994
2014-02-23,60.349999999999994
2014-02-24,34.08
2014-02-25,33.37
2014-02-26,32.66
2014-02-27,32.66
2014-02-28,42.599999999999994
2014-03-01,69.35
2014-03-02,69.35
2014-03-03,48.91
2014-03-04,39.42
2014-03-05,35.04
2014-03-06,35.769999999999996
2014-03-07,44.53
2014-03-08,68.62
2014-03-09,68.62
2014-03-10,38.69
2014-03-11,35.04
2014-03-12,36.5
2014-03-13,37.23
2014-03-14,45.99
2014-03-15,67.89
2014-03-16,66.42999999999999
2014-03-17,38.69
2014-03-18,35.04
2014-03-19,35.769999999999996
2014-03-20,36.5
2014-03-21,43.8
2014-03-22,69.35
2014-03-23,70.81
2014-03-24,39.42
2014-03-25,35.769999999999996
2014-03-26,37.23
2014-03-27,39.42
2014-03-28,47.449999999999996
2014-03-29,73.0
2014-03-30,67.16
2014-03-31,40.879999999999995
2014-04-01,32.25
2014-04-02,33.0
2014-04-03,35.25
2014-04-04,43.5
2014-04-05,64.5
2014-04-06,66.0
2014-04-07,37.5
2014-04-08,33.75
