Date,Market Timing
2013-11-24,0.0
2013-11-25,15.989999999999998
2013-11-26,0.0
2013-11-27,17.22
2013-11-28,0.0
2013-11-29,19.68
2013-11-30,0.0
2013-12-01,18.799999999999997
2013-12-02,15.51
2013-12-03,47.0
2013-12-04,24.439999999999998
2013-12-05,15.979999999999999
2013-12-06,16.45
2013-12-07,0.0
2013-12-08,0.0
2013-12-09,15.979999999999999
2013-12-10,15.979999999999999
2013-12-11,16.45
2013-12-12,33.37
2013-12-13,16.919999999999998
2013-12-14,20.209999999999997
2013-12-15,0.0
2013-12-16,0.0
2013-12-17,0.0
2013-12-18,0.0
2013-12-19,17.39
2013-12-20,18.33
2013-12-21,21.619999999999997
2013-12-22,21.619999999999997
2013-12-23,0.0
2013-12-24,0.0
2013-12-25,25.38
2013-12-26,0.0
2013-12-27,18.799999999999997
2013-12-28,21.619999999999997
2013-12-29,20.68
2013-12-30,17.86
2013-12-31,0.0
2014-01-01,0.0
2014-01-02,0.0
2014-01-03,32.68
2014-01-04,18.62
2014-01-05,0.0
2014-01-06,15.2
2014-01-07,15.2
2014-01-08,0.0
2014-01-09,15.96
2014-01-10,0.0
2014-01-11,18.62
2014-01-12,38.0
2014-01-13,0.0
2014-01-14,23.18
2014-01-15,31.16
2014-01-16,15.58
2014-01-17,15.96
2014-01-18,19.38
2014-01-19,19.38
2014-01-20,24.32
2014-01-21,14.82
2014-01-22,0.0
2014-01-23,15.2
2014-01-24,15.58
2014-01-25,18.62
2014-01-26,18.62
2014-01-27,0.0
2014-01-28,0.0
2014-01-29,15.2
2014-01-30,0.0
2014-01-31,15.58
2014-02-01,0.0
2014-02-02,25.650000000000002
2014-02-03,31.05
2014-02-04,21.150000000000002
2014-02-05,21.6
2014-02-06,31.95
2014-02-07,25.650000000000002
2014-02-08,0.0
2014-02-09,0.0
2014-02-10,21.150000000000002
2014-02-11,0.0
2014-02-12,21.150000000000002
2014-02-13,21.150000000000002
2014-02-14,22.5
2014-02-15,26.55
2014-02-16,0.0
2014-02-17,45.0
2014-02-18,42.75
2014-02-19,42.75
2014-02-20,21.6
2014-02-21,0.0
2014-02-22,27.0
2014-02-23,0.0
2014-02-24,21.150000000000002
2014-02-25,21.150000000000002
2014-02-26,20.7
2014-02-27,21.150000000000002
2014-02-28,0.0
2014-03-01,24.0
2014-03-02,24.0
2014-03-03,19.0
2014-03-04,29.5
2014-03-05,0.0
2014-03-06,30.0
2014-03-07,20.5
2014-03-08,0.0
2014-03-09,0.0
2014-03-10,20.0
2014-03-11,0.0
2014-03-12,20.0
2014-03-13,0.0
2014-03-14,0.0
2014-03-15,50.0
2014-03-16,0.0
2014-03-17,20.0
2014-03-18,0.0
2014-03-19,20.0
2014-03-20,20.5
2014-03-21,21.0
2014-03-22,25.5
2014-03-23,24.5
2014-03-24,0.0
2014-03-25,19.5
2014-03-26,20.0
2014-03-27,20.5
2014-03-28,0.0
2014-03-29,24.5
2014-03-30,24.5
2014-03-31,30.0
2014-04-01,31.919999999999998
2014-04-02,21.659999999999997
2014-04-03,21.659999999999997
2014-04-04,22.229999999999997
2014-04-05,0.0
2014-04-06,27.36
2014-04-07,0.0
2014-04-08,0.0
2014-04-09,21.659999999999997
2014-04-10,22.229999999999997
2014-04-11,0.0
2014-04-12,56.99999999999999
2014-04-13,0.0
2014-04-14,0.0
2014-04-15,21.09
2014-04-16,21.659999999999997
2014-04-17,22.799999999999997
2014-04-18,36.48
2014-04-19,0.0
2014-04-20,0.0
2014-04-21,45.029999999999994
2014-04-22,0.0
2014-04-23,43.31999999999999
2014-04-24,22.229999999999997
2014-04-25,0.0
2014-04-26,0.0
2014-04-27,27.36
2014-04-28,21.659999999999997
2014-04-29,0.0
2014-04-30,42.74999999999999
2014-05-01,35.6
2014-05-02,18.8
2014-05-03,0.0
2014-05-04,0.0
2014-05-05,17.6
2014-05-06,0.0
2014-05-07,0.0
2014-05-08,18.0
2014-05-09,18.400000000000002
2014-05-10,0.0
2014-05-11,0.0
2014-05-12,0.0
2014-05-13,0.0
2014-05-14,36.0
2014-05-15,0.0
2014-05-16,18.400000000000002
2014-05-17,0.0
2014-05-18,23.200000000000003
2014-05-19,18.0
2014-05-20,27.6
2014-05-21,40.0
2014-05-22,0.0
2014-05-23,0.0
2014-05-24,27.200000000000003
2014-05-25,28.400000000000002
2014-05-26,26.0
2014-05-27,0.0
2014-05-28,20.0
2014-05-29,20.400000000000002
2014-05-30,21.6
2014-05-31,0.0
2014-06-01,0.0
2014-06-02,0.0
2014-06-03,0.0
2014-06-04,38.22
2014-06-05,0.0
2014-06-06,20.28
2014-06-07,0.0
2014-06-08,0.0
2014-06-09,0.0
2014-06-10,0.0
2014-06-11,19.11
2014-06-12,0.0
2014-06-13,0.0
2014-06-14,0.0
2014-06-15,26.130000000000003
2014-06-16,19.5
2014-06-17,0.0
2014-06-18,0.0
2014-06-19,0.0
2014-06-20,0.0
2014-06-21,0.0
2014-06-22,0.0
2014-06-23,0.0
2014-06-24,39.0
2014-06-25,0.0
2014-06-26,0.0
2014-06-27,0.0
2014-06-28,0.0
2014-06-29,0.0
2014-06-30,0.0
2014-07-01,0.0
2014-07-02,52.800000000000004
2014-07-03,18.48
2014-07-04,66.0
2014-07-05,24.42
2014-07-06,0.0
2014-07-07,0.0
2014-07-08,16.5
2014-07-09,0.0
2014-07-10,34.980000000000004
2014-07-11,0.0
2014-07-12,21.12
2014-07-13,0.0
2014-07-14,34.32
2014-07-15,17.16
2014-07-16,34.980000000000004
2014-07-17,17.16
2014-07-18,0.0
2014-07-19,21.78
2014-07-20,0.0
2014-07-21,17.16
2014-07-22,0.0
2014-07-23,17.16
2014-07-24,17.16
2014-07-25,17.82
2014-07-26,21.78
2014-07-27,21.78
2014-07-28,17.16
2014-07-29,33.660000000000004
2014-07-30,0.0
2014-07-31,25.740000000000002
2014-08-01,20.4
2014-08-02,24.599999999999998
2014-08-03,0.0
2014-08-04,19.8
2014-08-05,0.0
2014-08-06,39.6
2014-08-07,30.0
2014-08-08,0.0
2014-08-09,24.599999999999998
2014-08-10,0.0
2014-08-11,19.2
2014-08-12,0.0
2014-08-13,0.0
2014-08-14,0.0
2014-08-15,0.0
2014-08-16,0.0
2014-08-17,0.0
2014-08-18,19.8
2014-08-19,19.2
2014-08-20,0.0
2014-08-21,19.8
2014-08-22,60.0
2014-08-23,24.0
2014-08-24,24.0
2014-08-25,38.4
2014-08-26,28.799999999999997
2014-08-27,19.2
2014-08-28,19.2
2014-08-29,0.0
2014-08-30,24.0
2014-08-31,0.0
2014-09-01,42.24
2014-09-02,0.0
2014-09-03,0.0
2014-09-04,0.0
2014-09-05,0.0
2014-09-06,0.0
2014-09-07,44.0
2014-09-08,0.0
2014-09-09,34.32
2014-09-10,0.0
2014-09-11,0.0
2014-09-12,0.0
2014-09-13,22.44
2014-09-14,0.0
2014-09-15,26.4
2014-09-16,17.16
2014-09-17,0.0
2014-09-18,17.6
2014-09-19,18.48
2014-09-20,22.88
2014-09-21,22.0
2014-09-22,17.6
2014-09-23,17.6
2014-09-24,17.6
2014-09-25,0.0
2014-09-26,18.92
