Date,Accumulation
2013-11-23,8.74
2013-11-24,16.1
2013-11-25,23.0
2013-11-26,17.02
2013-11-27,16.79
2013-11-28,1.61
2013-11-29,5.75
2013-11-30,8.97
2013-12-01,5.17
2013-12-02,4.2299999999999995
2013-12-03,11.28
2013-12-04,14.1
2013-12-05,13.16
2013-12-06,16.45
2013-12-07,12.219999999999999
2013-12-08,21.15
2013-12-09,18.799999999999997
2013-12-10,20.68
2013-12-11,10.34
2013-12-12,9.399999999999999
2013-12-13,11.28
2013-12-14,35.72
2013-12-15,47.0
2013-12-16,15.51
2013-12-17,20.209999999999997
2013-12-18,11.75
2013-12-19,7.05
2013-12-20,6.58
2013-12-21,8.459999999999999
2013-12-22,17.86
2013-12-23,5.64
2013-12-24,5.17
2013-12-25,5.17
2013-12-26,8.93
2013-12-27,3.29
2013-12-28,3.29
2013-12-29,6.109999999999999
2013-12-30,9.399999999999999
2013-12-31,12.69
2014-01-01,18.72
2014-01-02,43.68
2014-01-03,78.0
2014-01-04,15.600000000000001
2014-01-05,24.18
2014-01-06,30.42
2014-01-07,7.0200000000000005
2014-01-08,4.68
2014-01-09,4.68
2014-01-10,6.24
2014-01-11,2.34
2014-01-12,2.34
2014-01-13,3.9000000000000004
2014-01-14,5.46
2014-01-15,6.24
2014-01-16,3.9000000000000004
2014-01-17,10.14
2014-01-18,13.26
2014-01-19,5.46
2014-01-20,9.36
2014-01-21,50.7
2014-01-22,77.22
2014-01-23,10.92
2014-01-24,8.58
2014-01-25,14.82
2014-01-26,11.700000000000001
2014-01-27,14.82
2014-01-28,16.38
2014-01-29,27.3
2014-01-30,8.58
2014-01-31,16.38
2014-02-01,14.24
2014-02-02,16.02
2014-02-03,54.29
2014-02-04,33.82
2014-02-05,56.96
2014-02-06,21.36
2014-02-07,12.46
2014-02-08,15.13
2014-02-09,22.25
2014-02-10,19.580000000000002
2014-02-11,32.04
2014-02-12,36.49
2014-02-13,89.0
2014-02-14,43.61
2014-02-15,14.24
2014-02-16,12.46
2014-02-17,17.8
2014-02-18,21.36
2014-02-19,17.8
2014-02-20,10.68
2014-02-21,14.24
2014-02-22,4.45
2014-02-23,8.01
2014-02-24,6.23
2014-02-25,10.68
2014-02-26,11.57
2014-02-27,10.68
2014-02-28,16.02
2014-03-01,11.56
2014-03-02,32.300000000000004
2014-03-03,34.0
2014-03-04,7.48
2014-03-05,5.1000000000000005
2014-03-06,6.460000000000001
2014-03-07,6.800000000000001
2014-03-08,2.04
2014-03-09,2.3800000000000003
2014-03-10,5.1000000000000005
2014-03-11,5.1000000000000005
2014-03-12,12.58
2014-03-13,11.22
2014-03-14,5.78
2014-03-15,1.36
2014-03-16,10.88
2014-03-17,19.040000000000003
2014-03-18,9.180000000000001
2014-03-19,6.12
2014-03-20,4.08
2014-03-21,3.06
2014-03-22,2.3800000000000003
2014-03-23,4.42
2014-03-24,7.140000000000001
2014-03-25,8.84
2014-03-26,6.12
2014-03-27,6.12
2014-03-28,2.72
2014-03-29,0.68
2014-03-30,4.42
2014-03-31,8.84
2014-04-01,12.540000000000001
2014-04-02,9.120000000000001
2014-04-03,10.26
2014-04-04,18.81
2014-04-05,5.7
2014-04-06,2.85
2014-04-07,7.79
2014-04-08,10.07
2014-04-09,10.26
2014-04-10,10.45
2014-04-11,12.16
2014-04-12,1.52
2014-04-13,8.74
2014-04-14,12.35
2014-04-15,11.97
2014-04-16,11.4
2014-04-17,5.89
2014-04-18,5.13
2014-04-19,2.85
2014-04-20,1.52
2014-04-21,4.75
2014-04-22,4.5600000000000005
2014-04-23,10.26
2014-04-24,7.03
2014-04-25,11.78
2014-04-26,2.85
2014-04-27,8.55
2014-04-28,7.79
2014-04-29,12.16
2014-04-30,19.0
2014-05-01,6.86
2014-05-02,6.580000000000001
2014-05-03,4.0600000000000005
2014-05-04,1.9600000000000002
2014-05-05,6.86
2014-05-06,3.08
2014-05-07,3.9200000000000004
2014-05-08,3.22
2014-05-09,4.0600000000000005
2014-05-10,4.0600000000000005
2014-05-11,2.1
2014-05-12,14.000000000000002
2014-05-13,4.62
2014-05-14,0.8400000000000001
2014-05-15,7.140000000000001
2014-05-16,7.280000000000001
2014-05-17,5.040000000000001
2014-05-18,0.9800000000000001
2014-05-19,4.62
2014-05-20,2.3800000000000003
2014-05-21,7.140000000000001
2014-05-22,2.66
2014-05-23,0.0
2014-05-24,1.12
2014-05-25,3.6400000000000006
2014-05-26,4.48
2014-05-27,6.16
2014-05-28,6.0200000000000005
2014-05-29,4.48
2014-05-30,3.6400000000000006
2014-05-31,3.5000000000000004
2014-06-01,7.04
2014-06-02,9.57
2014-06-03,1.1
2014-06-04,8.58
2014-06-05,3.3
2014-06-06,3.41
2014-06-07,4.18
2014-06-08,1.43
2014-06-09,7.59
2014-06-10,6.49
2014-06-11,5.39
2014-06-12,8.58
2014-06-13,3.41
2014-06-14,0.0
2014-06-15,0.0
2014-06-16,3.3
2014-06-17,9.790000000000001
2014-06-18,7.7
2014-06-19,11.0
2014-06-20,5.72
2014-06-21,7.04
2014-06-22,4.29
2014-06-23,4.4
2014-06-24,7.59
2014-06-25,6.6
2014-06-26,6.6
2014-06-27,2.31
2014-06-28,5.5
2014-06-29,5.72
2014-06-30,11.0
2014-07-01,5.5
2014-07-02,1.1
2014-07-03,2.4000000000000004
2014-07-04,1.4000000000000001
2014-07-05,9.4
2014-07-06,4.3
2014-07-07,6.7
2014-07-08,5.4
2014-07-09,3.3000000000000003
2014-07-10,3.3000000000000003
2014-07-11,5.7
2014-07-12,6.9
2014-07-13,2.8000000000000003
2014-07-14,6.6000000000000005
2014-07-15,7.5
2014-07-16,5.6000000000000005
2014-07-17,4.5
2014-07-18,4.6000000000000005
2014-07-19,4.2
2014-07-20,10.0
2014-07-21,2.2
2014-07-22,2.2
2014-07-23,3.3000000000000003
2014-07-24,5.6000000000000005
2014-07-25,2.3000000000000003
2014-07-26,1.4000000000000001
2014-07-27,2.8000000000000003
2014-07-28,5.4
2014-07-29,3.3000000000000003
2014-07-30,4.4
2014-07-31,2.2
2014-08-01,2.34
2014-08-02,1.44
2014-08-03,5.67
2014-08-04,9.0
2014-08-05,1.08
2014-08-06,5.58
2014-08-07,5.13
2014-08-08,4.859999999999999
2014-08-09,1.44
2014-08-10,1.44
2014-08-11,4.41
2014-08-12,5.31
2014-08-13,7.739999999999999
2014-08-14,4.59
2014-08-15,5.9399999999999995
2014-08-16,2.79
2014-08-17,4.2299999999999995
2014-08-18,1.08
2014-08-19,6.66
2014-08-20,0.0
2014-08-21,7.83
