Date,Analyst Ratings
2013-12-03,20.09
2013-12-04,0.0
2013-12-05,41.0
2013-12-06,21.32
2013-12-07,0.0
2013-12-08,25.009999999999998
2013-12-09,20.5
2013-12-10,0.0
2013-12-11,0.0
2013-12-12,0.0
2013-12-13,22.139999999999997
2013-12-14,0.0
2013-12-15,0.0
2013-12-16,0.0
2013-12-17,31.979999999999997
2013-12-18,0.0
2013-12-19,0.0
2013-12-20,0.0
2013-12-21,28.29
2013-12-22,0.0
2013-12-23,24.189999999999998
2013-12-24,0.0
2013-12-25,0.0
2013-12-26,0.0
2013-12-27,24.189999999999998
2013-12-28,27.06
2013-12-29,26.65
2013-12-30,22.959999999999997
2013-12-31,0.0
2014-01-01,0.0
2014-01-02,0.0
2014-01-03,27.560000000000002
2014-01-04,0.0
2014-01-05,0.0
2014-01-06,0.0
2014-01-07,51.480000000000004
2014-01-08,0.0
2014-01-09,26.52
2014-01-10,0.0
2014-01-11,0.0
2014-01-12,0.0
2014-01-13,52.0
2014-01-14,26.0
2014-01-15,39.0
2014-01-16,26.0
2014-01-17,27.04
2014-01-18,32.76
2014-01-19,0.0
2014-01-20,27.560000000000002
2014-01-21,0.0
2014-01-22,0.0
2014-01-23,26.0
2014-01-24,0.0
2014-01-25,0.0
2014-01-26,31.720000000000002
2014-01-27,24.44
2014-01-28,24.96
2014-01-29,50.96
2014-01-30,26.0
2014-01-31,26.52
2014-02-01,52.08
2014-02-02,0.0
2014-02-03,0.0
2014-02-04,41.54
2014-02-05,0.0
2014-02-06,62.0
2014-02-07,0.0
2014-02-08,0.0
2014-02-09,0.0
2014-02-10,40.92
2014-02-11,40.92
2014-02-12,0.0
2014-02-13,42.16
2014-02-14,0.0
2014-02-15,0.0
2014-02-16,52.08
2014-02-17,0.0
2014-02-18,40.92
2014-02-19,0.0
2014-02-20,0.0
2014-02-21,42.78
2014-02-22,0.0
2014-02-23,0.0
2014-02-24,62.0
2014-02-25,40.92
2014-02-26,0.0
2014-02-27,41.54
2014-02-28,43.4
2014-03-01,0.0
2014-03-02,0.0
2014-03-03,0.0
2014-03-04,0.0
2014-03-05,0.0
2014-03-06,24.0
2014-03-07,0.0
2014-03-08,0.0
2014-03-09,0.0
2014-03-10,16.0
2014-03-11,0.0
2014-03-12,0.0
2014-03-13,0.0
2014-03-14,16.96
2014-03-15,0.0
2014-03-16,0.0
2014-03-17,15.68
2014-03-18,0.0
2014-03-19,32.0
2014-03-20,0.0
2014-03-21,25.28
2014-03-22,0.0
2014-03-23,19.84
2014-03-24,0.0
2014-03-25,15.68
2014-03-26,0.0
2014-03-27,0.0
2014-03-28,0.0
2014-03-29,0.0
2014-03-30,0.0
2014-03-31,0.0
2014-04-01,0.0
2014-04-02,0.0
2014-04-03,0.0
2014-04-04,0.0
2014-04-05,0.0
2014-04-06,0.0
2014-04-07,0.0
2014-04-08,0.0
2014-04-09,0.0
2014-04-10,0.0
2014-04-11,0.0
2014-04-12,18.900000000000002
2014-04-13,18.45
2014-04-14,0.0
2014-04-15,0.0
2014-04-16,28.8
2014-04-17,14.85
2014-04-18,0.0
2014-04-19,0.0
2014-04-20,0.0
2014-04-21,45.0
2014-04-22,0.0
2014-04-23,0.0
2014-04-24,0.0
2014-04-25,0.0
2014-04-26,0.0
2014-04-27,0.0
2014-04-28,0.0
2014-04-29,13.950000000000001
2014-04-30,0.0
2014-05-01,0.0
2014-05-02,0.0
2014-05-03,0.0
2014-05-04,0.0
2014-05-05,33.5
2014-05-06,0.0
2014-05-07,34.0
2014-05-08,34.5
2014-05-09,34.5
2014-05-10,43.5
2014-05-11,45.0
2014-05-12,34.0
2014-05-13,0.0
2014-05-14,0.0
2014-05-15,34.5
2014-05-16,35.0
2014-05-17,44.0
2014-05-18,0.0
2014-05-19,34.5
2014-05-20,0.0
2014-05-21,38.5
2014-05-22,39.0
2014-05-23,41.0
2014-05-24,0.0
2014-05-25,0.0
2014-05-26,0.0
2014-05-27,0.0
2014-05-28,38.0
2014-05-29,38.5
2014-05-30,0.0
2014-05-31,50.0
2014-06-01,0.0
2014-06-02,20.520000000000003
2014-06-03,0.0
2014-06-04,0.0
2014-06-05,20.790000000000003
2014-06-06,0.0
2014-06-07,27.0
2014-06-08,0.0
2014-06-09,20.520000000000003
2014-06-10,20.790000000000003
2014-06-11,0.0
2014-06-12,20.520000000000003
2014-06-13,21.6
2014-06-14,0.0
2014-06-15,0.0
2014-06-16,21.060000000000002
2014-06-17,20.790000000000003
2014-06-18,0.0
2014-06-19,0.0
2014-06-20,0.0
2014-06-21,0.0
2014-06-22,0.0
2014-06-23,0.0
2014-06-24,21.060000000000002
2014-06-25,20.790000000000003
2014-06-26,0.0
2014-06-27,0.0
2014-06-28,0.0
2014-06-29,27.0
2014-06-30,21.060000000000002
2014-07-01,17.28
2014-07-02,0.0
2014-07-03,0.0
2014-07-04,0.0
2014-07-05,0.0
2014-07-06,23.220000000000002
2014-07-07,0.0
2014-07-08,0.0
2014-07-09,17.82
2014-07-10,17.82
2014-07-11,18.36
2014-07-12,0.0
2014-07-13,0.0
2014-07-14,0.0
2014-07-15,0.0
2014-07-16,0.0
2014-07-17,54.0
2014-07-18,0.0
2014-07-19,0.0
2014-07-20,0.0
2014-07-21,17.82
2014-07-22,0.0
2014-07-23,0.0
2014-07-24,0.0
2014-07-25,0.0
2014-07-26,0.0
2014-07-27,0.0
2014-07-28,0.0
2014-07-29,35.1
2014-07-30,35.64
2014-07-31,35.64
2014-08-01,12.24
2014-08-02,0.0
2014-08-03,0.0
2014-08-04,11.52
2014-08-05,23.4
2014-08-06,0.0
2014-08-07,36.0
2014-08-08,12.6
2014-08-09,0.0
2014-08-10,0.0
2014-08-11,0.0
2014-08-12,11.16
2014-08-13,0.0
2014-08-14,11.879999999999999
2014-08-15,12.24
2014-08-16,14.399999999999999
2014-08-17,14.76
2014-08-18,0.0
2014-08-19,23.4
2014-08-20,0.0
2014-08-21,0.0
2014-08-22,0.0
2014-08-23,14.399999999999999
2014-08-24,0.0
2014-08-25,11.52
2014-08-26,17.28
2014-08-27,0.0
2014-08-28,0.0
2014-08-29,0.0
2014-08-30,0.0
2014-08-31,0.0
2014-09-01,0.0
2014-09-02,26.22
2014-09-03,0.0
2014-09-04,26.22
2014-09-05,54.51
2014-09-06,33.12
2014-09-07,0.0
2014-09-08,0.0
2014-09-09,0.0
2014-09-10,26.22
2014-09-11,53.129999999999995
2014-09-12,0.0
2014-09-13,0.0
2014-09-14,0.0
2014-09-15,26.22
2014-09-16,0.0
2014-09-17,52.44
2014-09-18,26.909999999999997
2014-09-19,26.909999999999997
2014-09-20,69.0
2014-09-21,0.0
