Date,Bar Chart
2013-11-15,29.28
2013-11-16,16.47
2013-11-17,18.3
2013-11-18,44.53
2013-11-19,40.87
2013-11-20,54.29
2013-11-21,39.65
2013-11-22,23.18
2013-11-23,9.15
2013-11-24,15.86
2013-11-25,43.31
2013-11-26,42.089999999999996
2013-11-27,34.16
2013-11-28,7.32
2013-11-29,13.42
2013-11-30,16.47
2013-12-01,3.84
2013-12-02,27.84
2013-12-03,37.44
2013-12-04,48.0
2013-12-05,38.879999999999995
2013-12-06,40.32
2013-12-07,19.68
2013-12-08,27.36
2013-12-09,25.439999999999998
2013-12-10,41.28
2013-12-11,39.36
2013-12-12,26.88
2013-12-13,34.56
2013-12-14,24.48
2013-12-15,20.64
2013-12-16,16.8
2013-12-17,6.72
2013-12-18,6.72
2013-12-19,27.84
2013-12-20,18.24
2013-12-21,8.64
2013-12-22,13.44
2013-12-23,14.879999999999999
2013-12-24,8.16
2013-12-25,10.08
2013-12-26,12.0
2013-12-27,15.36
2013-12-28,4.32
2013-12-29,16.8
2013-12-30,21.119999999999997
2013-12-31,7.199999999999999
2014-01-01,4.32
2014-01-02,19.44
2014-01-03,16.200000000000003
2014-01-04,11.34
2014-01-05,12.96
2014-01-06,15.120000000000001
2014-01-07,13.5
2014-01-08,32.940000000000005
2014-01-09,35.64
2014-01-10,25.380000000000003
2014-01-11,16.740000000000002
2014-01-12,15.120000000000001
2014-01-13,32.400000000000006
2014-01-14,23.220000000000002
2014-01-15,54.0
2014-01-16,26.46
2014-01-17,30.240000000000002
2014-01-18,15.66
2014-01-19,24.840000000000003
2014-01-20,22.68
2014-01-21,30.240000000000002
2014-01-22,37.800000000000004
2014-01-23,27.540000000000003
2014-01-24,48.06
2014-01-25,11.34
2014-01-26,18.36
2014-01-27,32.400000000000006
2014-01-28,44.28
2014-01-29,28.62
2014-01-30,36.72
2014-01-31,41.040000000000006
2014-02-01,20.009999999999998
2014-02-02,14.489999999999998
2014-02-03,37.26
2014-02-04,39.33
2014-02-05,51.059999999999995
2014-02-06,53.129999999999995
2014-02-07,28.979999999999997
2014-02-08,17.25
2014-02-09,22.08
2014-02-10,46.919999999999995
2014-02-11,48.989999999999995
2014-02-12,64.86
2014-02-13,48.3
2014-02-14,35.879999999999995
2014-02-15,17.939999999999998
2014-02-16,47.61
2014-02-17,37.26
2014-02-18,25.529999999999998
2014-02-19,30.36
2014-02-20,44.16
2014-02-21,36.57
2014-02-22,20.009999999999998
2014-02-23,15.18
2014-02-24,43.47
2014-02-25,42.779999999999994
2014-02-26,69.0
2014-02-27,53.81999999999999
2014-02-28,60.029999999999994
2014-03-01,20.400000000000002
2014-03-02,22.44
2014-03-03,53.720000000000006
2014-03-04,53.720000000000006
2014-03-05,56.440000000000005
2014-03-06,59.160000000000004
2014-03-07,68.0
2014-03-08,26.520000000000003
2014-03-09,29.240000000000002
2014-03-10,55.760000000000005
2014-03-11,51.00000000000001
2014-03-12,63.92
2014-03-13,48.28
2014-03-14,63.24
2014-03-15,18.360000000000003
2014-03-16,38.080000000000005
2014-03-17,42.160000000000004
2014-03-18,50.32
2014-03-19,45.56
2014-03-20,38.760000000000005
2014-03-21,59.84
2014-03-22,21.080000000000002
2014-03-23,35.36
2014-03-24,42.84
2014-03-25,51.68000000000001
2014-03-26,64.60000000000001
2014-03-27,51.00000000000001
2014-03-28,36.720000000000006
2014-03-29,17.0
2014-03-30,35.36
2014-03-31,44.88
2014-04-01,70.28999999999999
2014-04-02,71.0
2014-04-03,54.669999999999995
2014-04-04,48.989999999999995
2014-04-05,32.66
2014-04-06,23.43
2014-04-07,46.15
2014-04-08,41.89
2014-04-09,49.699999999999996
2014-04-10,68.16
2014-04-11,48.28
2014-04-12,22.009999999999998
2014-04-13,27.689999999999998
2014-04-14,41.89
2014-04-15,52.54
2014-04-16,49.699999999999996
2014-04-17,63.9
2014-04-18,34.08
2014-04-19,12.07
2014-04-20,22.72
2014-04-21,54.669999999999995
2014-04-22,49.699999999999996
2014-04-23,45.44
2014-04-24,55.379999999999995
2014-04-25,55.379999999999995
2014-04-26,48.989999999999995
2014-04-27,26.979999999999997
2014-04-28,58.22
2014-04-29,41.18
2014-04-30,61.059999999999995
2014-05-01,52.08
2014-05-02,34.72
2014-05-03,33.48
2014-05-04,24.8
2014-05-05,47.74
2014-05-06,44.02
2014-05-07,62.0
2014-05-08,44.64
2014-05-09,43.4
2014-05-10,14.26
2014-05-11,14.879999999999999
2014-05-12,35.339999999999996
2014-05-13,45.88
2014-05-14,42.16
2014-05-15,53.94
2014-05-16,52.7
2014-05-17,17.36
2014-05-18,19.84
2014-05-19,42.16
2014-05-20,40.3
2014-05-21,24.8
2014-05-22,53.32
2014-05-23,37.2
2014-05-24,19.84
2014-05-25,21.08
2014-05-26,38.44
2014-05-27,32.24
2014-05-28,48.98
2014-05-29,42.78
2014-05-30,34.1
2014-05-31,19.84
2014-06-01,22.1
2014-06-02,19.5
2014-06-03,35.75
2014-06-04,47.45
2014-06-05,45.5
2014-06-06,33.800000000000004
2014-06-07,44.85
2014-06-08,22.1
2014-06-09,51.35
2014-06-10,37.050000000000004
2014-06-11,34.45
2014-06-12,40.95
2014-06-13,49.4
2014-06-14,13.65
2014-06-15,26.0
2014-06-16,37.050000000000004
2014-06-17,50.050000000000004
2014-06-18,46.15
2014-06-19,39.65
2014-06-20,39.0
2014-06-21,5.8500000000000005
2014-06-22,22.75
2014-06-23,44.2
2014-06-24,39.0
2014-06-25,65.0
2014-06-26,37.050000000000004
2014-06-27,31.85
2014-06-28,13.65
2014-06-29,16.900000000000002
2014-06-30,30.55
2014-07-01,17.28
2014-07-02,32.0
2014-07-03,22.400000000000002
2014-07-04,13.44
2014-07-05,5.12
2014-07-06,9.6
2014-07-07,35.2
2014-07-08,37.76
2014-07-09,21.12
2014-07-10,28.8
2014-07-11,36.480000000000004
2014-07-12,4.48
2014-07-13,17.28
2014-07-14,45.44
2014-07-15,23.68
2014-07-16,39.04
2014-07-17,39.04
2014-07-18,21.76
2014-07-19,8.96
2014-07-20,13.44
2014-07-21,31.36
2014-07-22,41.6
2014-07-23,64.0
2014-07-24,32.0
2014-07-25,36.480000000000004
2014-07-26,17.28
2014-07-27,26.240000000000002
2014-07-28,41.6
2014-07-29,55.68
2014-07-30,31.36
2014-07-31,45.44
2014-08-01,19.84
2014-08-02,19.2
