Date,Cable
2013-11-23,73.1
2013-11-24,70.55
2013-11-25,71.39999999999999
2013-11-26,71.39999999999999
2013-11-27,68.85
2013-11-28,62.9
2013-11-29,81.6
2013-11-30,85.0
2013-12-01,64.97
2013-12-02,67.64
2013-12-03,64.08
2013-12-04,64.97
2013-12-05,64.08
2013-12-06,66.75
2013-12-07,68.53
2013-12-08,64.08
2013-12-09,63.19
2013-12-10,62.300000000000004
2013-12-11,62.300000000000004
2013-12-12,61.410000000000004
2013-12-13,64.97
2013-12-14,67.64
2013-12-15,64.08
2013-12-16,63.19
2013-12-17,60.52
2013-12-18,59.63
2013-12-19,56.96
2013-12-20,63.19
2013-12-21,62.300000000000004
2013-12-22,63.19
2013-12-23,64.97
2013-12-24,64.97
2013-12-25,69.42
2013-12-26,89.0
2013-12-27,80.99
2013-12-28,77.43
2013-12-29,72.98
2013-12-30,74.76
2013-12-31,74.76
2014-01-01,86.45
2014-01-02,88.27
2014-01-03,89.18
2014-01-04,91.0
2014-01-05,80.08
2014-01-06,84.63000000000001
2014-01-07,84.63000000000001
2014-01-08,83.72
2014-01-09,80.08
2014-01-10,82.81
2014-01-11,90.09
2014-01-12,85.54
2014-01-13,80.08
2014-01-14,87.36
2014-01-15,78.26
2014-01-16,77.35000000000001
2014-01-17,79.17
2014-01-18,85.54
2014-01-19,77.35000000000001
2014-01-20,81.9
2014-01-21,81.9
2014-01-22,79.17
2014-01-23,79.17
2014-01-24,79.17
2014-01-25,77.35000000000001
2014-01-26,74.62
2014-01-27,78.26
2014-01-28,80.08
2014-01-29,70.98
2014-01-30,77.35000000000001
2014-01-31,80.08
2014-02-01,79.12
2014-02-02,79.12
2014-02-03,75.67999999999999
2014-02-04,74.82
2014-02-05,67.94
2014-02-06,67.94
2014-02-07,77.4
2014-02-08,78.26
2014-02-09,74.82
2014-02-10,70.52
2014-02-11,70.52
2014-02-12,69.66
2014-02-13,86.0
2014-02-14,72.24
2014-02-15,74.82
2014-02-16,72.24
2014-02-17,71.38
2014-02-18,67.94
2014-02-19,72.24
2014-02-20,71.38
2014-02-21,74.82
2014-02-22,72.24
2014-02-23,65.36
2014-02-24,69.66
2014-02-25,71.38
2014-02-26,66.22
2014-02-27,71.38
2014-02-28,67.94
2014-03-01,80.19000000000001
2014-03-02,79.38000000000001
2014-03-03,81.0
2014-03-04,79.38000000000001
2014-03-05,75.33
2014-03-06,74.52000000000001
2014-03-07,76.14
2014-03-08,80.19000000000001
2014-03-09,72.09
2014-03-10,74.52000000000001
2014-03-11,78.57000000000001
2014-03-12,74.52000000000001
2014-03-13,74.52000000000001
2014-03-14,75.33
2014-03-15,77.76
2014-03-16,72.9
2014-03-17,74.52000000000001
2014-03-18,76.14
2014-03-19,77.76
2014-03-20,73.71000000000001
2014-03-21,76.14
2014-03-22,77.76
2014-03-23,76.14
2014-03-24,78.57000000000001
2014-03-25,75.33
2014-03-26,69.66000000000001
2014-03-27,72.09
2014-03-28,70.47
2014-03-29,72.09
2014-03-30,69.66000000000001
2014-03-31,80.19000000000001
2014-04-01,82.0
2014-04-02,81.17999999999999
2014-04-03,78.72
2014-04-04,75.44
2014-04-05,81.17999999999999
2014-04-06,77.08
2014-04-07,75.44
2014-04-08,75.44
2014-04-09,73.8
2014-04-10,73.8
2014-04-11,73.8
2014-04-12,67.24
2014-04-13,79.53999999999999
2014-04-14,75.44
2014-04-15,74.61999999999999
2014-04-16,74.61999999999999
2014-04-17,72.16
2014-04-18,76.25999999999999
2014-04-19,76.25999999999999
2014-04-20,62.31999999999999
2014-04-21,81.17999999999999
2014-04-22,82.0
2014-04-23,74.61999999999999
2014-04-24,72.16
2014-04-25,72.16
2014-04-26,75.44
2014-04-27,71.33999999999999
2014-04-28,77.08
2014-04-29,78.72
2014-04-30,75.44
2014-05-01,67.2
2014-05-02,65.60000000000001
2014-05-03,68.0
2014-05-04,64.8
2014-05-05,64.8
2014-05-06,60.800000000000004
2014-05-07,64.8
2014-05-08,60.800000000000004
2014-05-09,60.0
2014-05-10,63.2
2014-05-11,56.800000000000004
2014-05-12,64.8
2014-05-13,63.2
2014-05-14,64.0
2014-05-15,68.8
2014-05-16,63.2
2014-05-17,64.0
2014-05-18,61.6
2014-05-19,65.60000000000001
2014-05-20,63.2
2014-05-21,65.60000000000001
2014-05-22,62.400000000000006
2014-05-23,64.0
2014-05-24,61.6
2014-05-25,56.800000000000004
2014-05-26,67.2
2014-05-27,70.4
2014-05-28,69.60000000000001
2014-05-29,69.60000000000001
2014-05-30,80.0
2014-05-31,72.0
2014-06-01,69.7
2014-06-02,79.89999999999999
2014-06-03,78.2
2014-06-04,77.35
2014-06-05,74.8
2014-06-06,70.55
2014-06-07,73.95
2014-06-08,68.0
2014-06-09,73.95
2014-06-10,74.8
2014-06-11,79.05
2014-06-12,85.0
2014-06-13,77.35
2014-06-14,71.39999999999999
2014-06-15,70.55
2014-06-16,79.89999999999999
2014-06-17,79.89999999999999
2014-06-18,77.35
2014-06-19,75.64999999999999
2014-06-20,75.64999999999999
2014-06-21,71.39999999999999
2014-06-22,67.14999999999999
2014-06-23,74.8
2014-06-24,72.25
2014-06-25,76.5
2014-06-26,74.8
2014-06-27,72.25
2014-06-28,73.95
2014-06-29,71.39999999999999
2014-06-30,80.75
2014-07-01,83.3
2014-07-02,72.25
2014-07-03,74.8
2014-07-04,67.14999999999999
2014-07-05,67.14999999999999
2014-07-06,65.45
2014-07-07,80.75
2014-07-08,78.2
2014-07-09,77.35
2014-07-10,75.64999999999999
2014-07-11,73.1
2014-07-12,71.39999999999999
2014-07-13,64.6
2014-07-14,80.75
2014-07-15,79.05
2014-07-16,85.0
2014-07-17,77.35
2014-07-18,77.35
2014-07-19,73.1
2014-07-20,66.3
2014-07-21,77.35
2014-07-22,74.8
2014-07-23,77.35
2014-07-24,71.39999999999999
2014-07-25,71.39999999999999
2014-07-26,66.3
2014-07-27,72.25
2014-07-28,79.05
2014-07-29,75.64999999999999
2014-07-30,79.05
2014-07-31,79.89999999999999
2014-08-01,86.39999999999999
2014-08-02,77.75999999999999
2014-08-03,75.84
2014-08-04,86.39999999999999
2014-08-05,87.36
2014-08-06,88.32
2014-08-07,77.75999999999999
2014-08-08,87.36
2014-08-09,85.44
2014-08-10,77.75999999999999
2014-08-11,91.2
2014-08-12,80.64
2014-08-13,87.36
2014-08-14,88.32
2014-08-15,86.39999999999999
2014-08-16,82.56
2014-08-17,85.44
2014-08-18,87.36
2014-08-19,91.2
2014-08-20,81.6
2014-08-21,88.32
2014-08-22,87.36
2014-08-23,89.28
2014-08-24,84.47999999999999
2014-08-25,88.32
2014-08-26,89.28
2014-08-27,96.0
2014-08-28,90.24
2014-08-29,93.11999999999999
2014-08-30,96.0
2014-08-31,83.52
2014-09-01,73.92
2014-09-02,83.6
2014-09-03,83.6
2014-09-04,77.44
2014-09-05,80.08
2014-09-06,85.36
2014-09-07,87.12
2014-09-08,80.08
2014-09-09,80.96
2014-09-10,84.48
2014-09-11,79.2
2014-09-12,77.44
2014-09-13,86.24
2014-09-14,88.0
